AccountID,BranchID,ProductID,DisbursedOn,Application Score,ArrearsDays,Actual Application Grade,Actual Good Bad,Gender,LiteracyLevel,Occupation,MaritalStatus,PurposeCode,DonorID,LoanSeries,CreditOfficerID,SectorID,Disbursement Amount,InstallmentAmt,ActualBalance,ArrearsPer,ArrearsAmount
2702000437,2,LN08,"June 30, 2011",52,98,A,1,F,C,E,S,6,200,1,6,71,50000,6170,368.3,2,13263.64
7702000015,7,LN08,"March 2, 2012",51,2,A,1,M,X,E,M,6,200,1,GMAMBALA,71,20000,3030,6561.6667,1,2655.3333
2702000600,2,LN08,"May 8, 2012",51,55,A,1,M,S,E,U,6,200,1,6,71,25000,4830,25000,2,9680
7702000004,7,LN08,"April 30, 2012",51,3,A,1,M,S,E,M,6,200,2,GMAMBALA,71,58000,6380,46133.34,2,15006.6667
2702000530,2,LN08,"October 28, 2011",50,38,A,1,M,U,E,U,10,200,1,8,61,220000,23470,74845.64,1,23406.64
2702000424,2,LN08,"November 11, 2011",50,113,A,1,M,C,E,M,6,200,2,6,71,100000,10670,55514,3,30160.32
7901000023,7,LN06,"February 3, 2012",50,30,A,1,G,N,M,G,1,200,1,GMAMBALA,71,170000,34280,41306.6667,1,46860
7901000007,7,LN06,"February 3, 2012",50,30,A,1,G,N,M,G,1,200,2,GMAMBALA,71,129000,26020,35089.3333,4,92890.6667
2702000588,2,LN08,"April 10, 2012",48,53,A,1,M,S,C,M,8,200,1,10,71,18000,2730,14805.33,1,3523.33
7601000033,7,LN03,"May 7, 2012",48,56,A,1,M,T,M,M,7,204,2,GMAMBALA,61,78000,15080,78000,2,30160
7901000016,7,LN06,"May 30, 2012",48,33,A,1,G,N,M,G,5,200,2,GMAMBALA,31,150000,30250,129005,2,54725
5702000449,5,LN08,"June 18, 2012",47,14,A,1,M,S,E,M,13,200,2,3,78,30000,3300,30000,1,3300
2702000263,2,LN08,"May 10, 2012",47,53,A,1,F,S,E,M,8,200,2,6,71,60000,6600,56813.3333,1,6600
5702000442,5,LN08,"May 23, 2012",47,40,A,1,M,P,E,W,6,200,2,3,78,50000,5500,47514.6667,1,7985.3333
7702000014,7,LN08,"February 15, 2012",47,48,A,1,M,E,B,M,8,200,1,GMAMBALA,71,107000,11770,75785,1,11770
2702000572,2,LN08,"April 3, 2012",47,90,A,1,F,S,E,M,9,200,1,8,71,30000,3300,30000,4,13200
2702000505,2,LN08,"September 16, 2011",47,109,A,1,F,S,E,U,3,200,1,6,71,75000,8000,32558.3333,3,20000
4702000020,4,LN08,"March 22, 2012",47,12,A,1,M,S,E,S,3,204,2,AMWAKHWAWA,61,75000,9500,52500,3,32000
2901000072,2,LN06,"October 26, 2011",47,189,A,0,G,T,M,U,1,200,1,6,71,215000,42280,143055,4,163850
2702000556,2,LN08,"January 19, 2012",46,15,A,1,F,S,C,M,8,200,1,10,71,100000,11000,49664,0,0
5702000464,5,LN08,"December 23, 2011",46,42,A,1,M,S,E,M,8,200,1,5,78,30000,3200,15223.3333,5,17476.6667
7901000017,7,LN06,"June 29, 2012",46,3,A,1,G,N,B,G,5,200,2,GMAMBALA,31,112000,22590,93330.669,1,18539.3333
7901000029,7,LN06,"June 7, 2012",46,25,A,1,G,N,B,G,5,200,1,GMAMBALA,31,125000,25210,97142,1,21268
4702000025,4,LN08,"August 24, 2011",46,132,A,1,M,S,E,M,4,200,1,2,78,60000,6400,28306.6667,4,23400
2702000508,2,LN08,"September 23, 2011",46,282,A,0,M,S,E,U,3,200,1,6,71,32000,3410,32000,10,34200
7901000028,7,LN06,"April 16, 2012",46,17,A,1,G,N,B,G,5,200,1,GMAMBALA,31,125000,25210,59864,3,63366
2702000573,2,LN08,"March 1, 2012",46,122,A,1,M,U,E,M,8,200,1,6,71,150000,16500,150000,5,82500
7901000022,7,LN06,"May 3, 2012",46,1,A,1,G,N,B,G,1,200,2,GMAMBALA,31,357000,72000,235043.3333,3,190166.6667
5702000425,5,LN08,"April 10, 2012",45,53,A,1,M,S,E,M,6,200,2,3,78,7200,790,5085.6633,0,-92.67
2701000245,2,LN04,"January 31, 2012",45,152,A,0,M,P,E,M,9,200,1,8,71,7000,2580,7000,3,8490
7701000008,7,LN04,"May 10, 2012",45,23,A,1,M,E,C,M,6,200,2,GMAMBALA,71,30000,11050,13460,1,9190
7701000004,7,LN04,"June 15, 2012",45,17,A,1,M,E,C,M,6,200,2,GMAMBALA,71,30000,11050,30000,1,11050
2701000200,2,LN04,"December 15, 2011",45,199,A,0,M,P,E,U,9,200,2,10,71,10000,3630,10000,3,12100
5702000173,5,LN08,"September 27, 2011",45,248,A,0,M,PT,M,U,8,200,3,3,78,21000,2240,17570.3369,9,19266.6667
2702000476,2,LN08,"December 7, 2011",45,207,A,0,M,S,E,U,8,200,2,6,71,32000,5320,30586.67,6,33816.67
2702000542,2,LN08,"December 8, 2011",45,57,A,1,M,C,E,M,3,200,1,8,71,400000,59330,131249,2,142401
4601000140,4,LN03,"February 15, 2012",44,18,A,1,F,S,E,S,6,200,1,AMWAKHWAWA,71,10000,1100,1242,-4,-3878
2702000547,2,LN08,"April 30, 2012",44,3,A,1,F,C,E,S,6,200,2,6,71,100000,11000,75099,0,0
5702000349,5,LN08,"April 26, 2012",44,37,A,1,F,PT,M,U,9,200,2,3,78,4500,500,3156,3,1344
7102000011,7,LN01,"June 15, 2012",44,17,A,1,G,N,B,G,5,200,1,GMAMBALA,31,358000,72200,299913.3333,0,1489
2601000532,2,LN03,"November 4, 2011",44,180,A,0,M,P,E,M,6,200,1,6,71,10000,2770,1092.01,1,2720.01
2501000247,2,LN02,"March 26, 2012",44,8,A,1,M,P,E,M,6,200,1,6,71,40000,7870,17960,1,5480
5702000338,5,LN08,"April 26, 2012",44,37,A,1,F,PT,M,U,8,200,2,5,78,40000,4400,35846.3333,1,6300
2702000445,2,LN08,"March 7, 2012",44,87,A,1,F,S,U,M,9,200,2,8,71,20000,3870,14461.3333,2,7640
2702000428,2,LN08,"February 2, 2012",44,31,A,1,F,S,E,S,12,200,2,10,71,40000,5070,23686.68,2,7686.68
5702000422,5,LN08,"August 3, 2011",44,64,A,1,M,S,E,S,6,200,1,5,11,36000,3840,8788,2,9180
2702000615,2,LN08,"June 29, 2012",44,3,A,1,M,T,E,M,6,200,1,6,71,120000,13200,120000,1,13200
7102000010,7,LN01,"June 7, 2012",44,25,A,1,G,N,B,G,5,200,1,GMAMBALA,31,157000,31660,127850,1,26720
7901000010,7,LN06,"June 7, 2012",44,25,A,1,G,PT,M,G,5,200,3,GMAMBALA,31,181000,36500,150117.3333,1,30592.6667
2702000275,2,LN08,"October 22, 2011",44,193,A,0,M,U,E,M,13,200,2,8,71,150000,22250,104300,5,108500
2702000378,2,LN08,"April 3, 2012",43,1,A,1,F,C,E,M,6,200,3,6,71,90000,9900,59920.0033,0,0
2702000543,2,LN08,"March 7, 2012",43,57,A,1,F,C,E,M,6,200,2,8,71,20000,2200,12722,0,250
5702000297,5,LN08,"April 26, 2011",43,102,A,1,M,PT,M,U,13,200,2,3,78,60000,6400,1119.9967,0,790
5702000306,5,LN08,"April 3, 2012",43,1,A,1,M,PT,M,U,13,200,4,3,78,20000,2200,11967.9533,0,845.6167
5702000264,5,LN08,"October 11, 2011",43,55,A,1,M,PT,M,U,8,200,2,3,78,7000,750,3260.6667,4,3036
5702000418,5,LN08,"August 3, 2011",43,113,A,1,M,PT,M,U,13,200,1,5,78,15000,1600,4835,3,4800
5702000273,5,LN08,"June 29, 2012",43,3,A,1,M,PT,M,U,13,200,3,3,78,50000,5500,50000,1,5500
5702000463,5,LN08,"December 23, 2011",43,12,A,1,M,PT,M,U,9,200,1,5,78,50000,5330,23619,1,6171
5702000242,5,LN08,"October 28, 2011",43,98,A,1,M,PT,M,U,13,200,2,5,78,23000,2450,11828,4,9402
2702000485,2,LN08,"August 12, 2011",43,174,A,0,M,S,E,U,1,200,1,8,71,10000,3570,10000,4,12620
2702000602,2,LN08,"May 10, 2012",43,53,A,1,F,C,E,M,6,200,1,10,71,70000,7700,70000,2,15400
5702000437,5,LN08,"September 6, 2011",43,149,A,0,M,S,E,M,3,200,1,5,78,26000,2770,13558.0233,6,16351.0167
5702000356,5,LN08,"July 5, 2011",43,212,A,0,M,PT,M,U,9,200,2,5,78,25000,2670,12458,6,17120
5702000340,5,LN08,"May 29, 2012",43,34,A,1,F,PT,M,U,6,200,2,5,78,85000,9350,85000,2,18700
6901000010,6,LN06,"March 8, 2012",43,56,A,1,G,N,B,G,1,200,3,SCHINKUDZU,61,107500,30640,37971.0033,1,36211.67
7901000027,7,LN06,"March 29, 2012",43,5,A,1,G,X,M,G,1,200,1,GMAMBALA,71,215000,43360,89258,2,74814
2702000525,2,LN08,"March 30, 2012",43,94,A,1,F,U,E,M,8,200,2,10,71,200000,27560,192395.6667,3,90159
6901000047,6,LN06,"April 16, 2012",43,77,A,1,G,N,B,U,1,200,1,SCHINKUDZU,71,154300,43980,102430,2,106450
2702000562,2,LN08,"January 26, 2012",42,8,A,1,M,C,E,M,6,200,1,6,71,40000,4400,16227.6667,-1,-3400
6702000011,6,LN08,"April 16, 2012",42,17,A,1,F,S,E,M,1,200,1,SCHINKUDZU,71,90000,9900,61080,0,-200
2702000464,2,LN08,"July 14, 2011",42,24,A,1,F,S,E,S,3,200,1,10,61,60000,6400,746.6667,0,0
2702000614,2,LN08,"June 29, 2012",42,3,A,1,M,S,E,M,9,200,1,10,71,20000,3870,19415.3333,1,3294.6667
5601000670,5,LN03,"September 9, 2011",42,296,A,0,M,S,E,M,6,200,1,5,78,3500,390,3500,10,3800
5702000415,5,LN08,"July 2, 2012",42,1,A,1,M,PT,M,U,6,200,1,3,78,35000,3850,35000,1,3850
2702000518,2,LN08,"April 30, 2012",42,3,A,1,M,C,E,M,6,200,2,8,71,30000,5800,15053.3333,1,4706.6667
